ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global
6431,variable,8123307341,Amana Basmati - 2kg,1,0,visible,Amana Basmati - 2kg,Amana Basmati - 2kg,,,taxable,,0,,0,0,,,,,0,,,,Rice,,,https://kapuafrica.com/wp-content/uploads/2022/02/Amana-basmati-2kg.jpg,,,,,,,,,0,Pricing,"Base, Pamoja",1,1
6432,variable,1479758021,Amana Basmati - 1kg,1,0,visible,Amana Basmati - 1kg,Amana Basmati - 1kg,,,taxable,,0,,0,0,,,,,0,,,,Rice,,,https://kapuafrica.com/wp-content/uploads/2022/02/Amana-Basmati-Rice-1kg.jpg,,,,,,,,,0,Pricing,"Base, Pamoja",1,1
6433,variation,,Jogoo Maize Meal - 1kg - Base,1,0,visible,,,,,taxable,,0,,0,0,,,,,0,,,58,,,,,,,8930412410,,,,,,1,Pricing,Base,,1
6434,variation,,Exe All Purpose Flour - 2kg - Base,1,0,visible,,,,,taxable,,0,,0,0,,,,,0,,,143,,,,,,,3722302986,,,,,,1,Pricing,Base,,1
6435,variation,,Exe Chapati - 2kg - Base,1,0,visible,,,,,taxable,,0,,0,0,,,,,0,,,146,,,,,,,2319734048,,,,,,1,Pricing,Base,,1
6436,variation,,Exe Mandazi - 2kg - Base,1,0,visible,,,,,taxable,,0,,0,0,,,,,0,,,150,,,,,,,5183853415,,,,,,1,Pricing,Base,,1
6437,variation,,Exe Self Raising Flour - 2Kg - Base,1,0,visible,,,,,taxable,,0,,0,0,,,,,0,,,150,,,,,,,8716032110,,,,,,1,Pricing,Base,,1
6438,variation,,Famila Ujimix - 1kg - Base,1,0,visible,,,,,taxable,,0,,0,0,,,,,0,,,110,,,,,,,7489470096,,,,,,1,Pricing,Base,,1
6439,variation,,Famila Ujimix - 500g - Base,1,0,visible,,,,,taxable,,0,,0,0,,,,,0,,,55,,,,,,,1294523241,,,,,,1,Pricing,Base,,1
6440,variation,,Famila Baby Porridge - 1kg - Base,1,0,visible,,,,,taxable,,0,,0,0,,,,,0,,,130,,,,,,,4727233274,,,,,,1,Pricing,Base,,1
6441,variation,,Famila Baby Porridge - 500g - Base,1,0,visible,,,,,taxable,,0,,0,0,,,,,0,,,65,,,,,,,9762639864,,,,,,1,Pricing,Base,,1
6442,variation,,Famila Banana Flavoured Porridge - 1kg - Base,1,0,visible,,,,,taxable,,0,,0,0,,,,,0,,,120,,,,,,,2303452914,,,,,,1,Pricing,Base,,1
6443,variation,,Famila Banana Flavoured Porridge - 500g - Base,1,0,visible,,,,,taxable,,0,,0,0,,,,,0,,,62,,,,,,,4472933861,,,,,,1,Pricing,Base,,1
6444,variation,,Amana Ndengu - 1kg - Base,1,0,visible,,,,,taxable,,0,,0,0,,,,,0,,,155,,,,,,,7685130161,,,,,,1,Pricing,Base,,1
6445,variation,,Amana Ndengu - 500g - Base,1,0,visible,,,,,taxable,,0,,0,0,,,,,0,,,77,,,,,,,8105755714,,,,,,1,Pricing,Base,,1
6446,variation,,Amana Ndengu - 250g - Base,1,0,visible,,,,,taxable,,0,,0,0,,,,,0,,,40,,,,,,,4140276178,,,,,,1,Pricing,Base,,1
6447,variation,,Amana Njahi - 1kg - Base,1,0,visible,,,,,taxable,,0,,0,0,,,,,0,,,179,,,,,,,4650300246,,,,,,1,Pricing,Base,,1
6448,variation,,Amana Rose Coco - 1kg - Base,1,0,visible,,,,,taxable,,0,,0,0,,,,,0,,,170,,,,,,,8459027618,,,,,,1,Pricing,Base,,1
