id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,gender,color,size,pattern,google_product_category,default_product,variant
86722522_3368,"Blue Band Original - 500G","Pricing: Pamoja",https://kapu.mystagingwebsite.com/wp-content/uploads/2022/01/BlueBand-500g.jpg,https://kapu.mystagingwebsite.com/product/blue-band-original-500g/?attribute_pa_pricing=pamoja,"Cooking Ingredient","Kapu Africa",199KES,in stock,86722522_3197,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,199KES,new,published,,,,,422,,"pricing:Base/Pamoja:Pamoja"
9673768233_3366,"Blue Band Original - 250G","Pricing: Pamoja",https://kapu.mystagingwebsite.com/wp-content/uploads/2022/01/BlueBand-500g.jpg,https://kapu.mystagingwebsite.com/product/blue-band-original-250g/?attribute_pa_pricing=pamoja,"Cooking Ingredient","Kapu Africa",99KES,in stock,9673768233_3196,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,99KES,new,published,,,,,422,,"pricing:Base/Pamoja:Pamoja"
9604696117_3364,"Blue Band Original - 100G","Pricing: Pamoja",https://kapu.mystagingwebsite.com/wp-content/uploads/2022/01/Blueband-250g.jpg,https://kapu.mystagingwebsite.com/product/blue-band-original-100g/?attribute_pa_pricing=pamoja,"Cooking Ingredient","Kapu Africa",45KES,in stock,9604696117_3195,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,45KES,new,published,,,,,422,,"pricing:Base/Pamoja:Pamoja"
1749308189_3362,"Arimis Milking Jelly - 50g","Pricing: Pamoja",https://kapu.mystagingwebsite.com/wp-content/uploads/2021/11/ArimisMilkingJelly200g_1024x1024.png,https://kapu.mystagingwebsite.com/product/arimis-milking-jelly-50g/?attribute_pa_pricing=pamoja,"Beauty","Kapu Africa",22KES,in stock,1749308189_3194,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,22KES,new,published,,,,,422,,"pricing:Base/Pamoja:Pamoja"
1181100148_3360,"Arimis Milking Jelly - 200g","Pricing: MarketPrice",https://kapu.mystagingwebsite.com/wp-content/uploads/2021/11/ArimisMilkingJelly200g_1024x1024.png,https://kapu.mystagingwebsite.com/product/arimis-milking-jelly-200g/?attribute_pa_pricing=marketprice,"Beauty","Kapu Africa",85KES,in stock,1181100148_3193,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,85KES,new,published,,,,,422,,"pricing:Base/MarketPrice:MarketPrice"
7857504030_3356,"Rina Vegetable Oil - 1L","Pricing: Pamoja",https://kapu.mystagingwebsite.com/wp-content/uploads/2022/01/Rina-1L.jpg,https://kapu.mystagingwebsite.com/product/rina-vegetable-oil-1l/?attribute_pa_pricing=pamoja,"Cooking Ingredient, Oil","Kapu Africa",295KES,in stock,7857504030_3242,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,295KES,new,published,,,,,422,,"pricing:Base/Pamoja:Pamoja"
7857504030_3350,"Rina Vegetable Oil - 1L","Pricing: Base",https://kapu.mystagingwebsite.com/wp-content/uploads/2022/01/Rina-1L.jpg,https://kapu.mystagingwebsite.com/product/rina-vegetable-oil-1l/?attribute_pa_pricing=base,"Cooking Ingredient, Oil","Kapu Africa",299KES,in stock,7857504030_3242,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,299KES,new,published,,,,,422,,"pricing:Base/Pamoja:Base"
1328760238_3312,"Soko Maize Meal - 2Kg","Pricing: Base",https://kapu.mystagingwebsite.com/wp-content/uploads/2021/11/soko-maize-meal-2kg.jpeg,https://kapu.mystagingwebsite.com/product/soko-maize-meal-2kg/?attribute_pa_pricing=base,"Flours","Kapu Africa",114KES,in stock,1328760238_3223,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,114KES,new,published,,,,,422,,"pricing:Base/Pamoja:Base"
6205229719_3310,"Pembe Maize Meal - 2Kg","Pricing: Base",https://kapu.mystagingwebsite.com/wp-content/uploads/2022/01/Pembe-Maize-Meal-2kg.png,https://kapu.mystagingwebsite.com/product/pembe-maize-meal-2kg/?attribute_pa_pricing=base,"Flours","Kapu Africa",114KES,in stock,6205229719_3222,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,114KES,new,published,,,,,422,,"pricing:Base/Pamoja:Base"
576431025_3306,"Kabras Sugar - 2Kg","Pricing: Base",https://kapu.mystagingwebsite.com/wp-content/uploads/2021/11/Kabras-Sugar-2kg.jpeg,https://kapu.mystagingwebsite.com/product/kabras-sugar-2kg/?attribute_pa_pricing=base,"Sugar","Kapu Africa",255KES,in stock,576431025_3220,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,255KES,new,published,,,,,422,,"pricing:Base/Pamoja:Base"
838673691_3302,"Ajab Home Baking - 2Kg","Pricing: Base",https://kapu.mystagingwebsite.com/wp-content/uploads/2021/11/ajab-home-baking0flour-2kg.jpeg,https://kapu.mystagingwebsite.com/product/ajab-home-baking-2kg/?attribute_pa_pricing=base,"Flours","Kapu Africa",144KES,in stock,838673691_3218,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,144KES,new,published,,,,,422,,"pricing:Base/Pamoja:Base"
7718910308_3300,"Weetabix Single Serve - 37G","Pricing: Base",https://kapu.mystagingwebsite.com/wp-content/uploads/2022/01/Weetabix-Single-Serve.jpg,https://kapu.mystagingwebsite.com/product/weetabix-single-serve-37g/?attribute_pa_pricing=base,"Bread &amp; Cereals","Kapu Africa",24KES,in stock,7718910308_3217,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,24KES,new,published,,,,,422,,"pricing:Base/Pamoja:Base"
7195055335_3298,"Vaseline Pure Jelly - 50g","Pricing: Base",https://kapu.mystagingwebsite.com/wp-content/uploads/2022/01/Vaseline-50g.jpg,https://kapu.mystagingwebsite.com/product/vaseline-pure-jelly-50g/?attribute_pa_pricing=base,"Beauty","Kapu Africa",44KES,in stock,7195055335_3216,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,44KES,new,published,,,,,422,,"pricing:Base/Pamoja:Base"
